dci_a,dci_b,severity,description
HORMONES THYROÏDIENNES,EFAVIRENZ,PRECAUTION_EMPLOI,"Risque d'hypothyroïdie clinique chez les patients hypothyroïdiens, par augmentation du métabolisme de la T3 et de la T4. Surveillance clinique et biologique. Adaptation, si besoin, de la posologie des hormones thyroïdiennes pendant le traitement par l'inducteur et après son arrêt."
HORMONES THYROÏDIENNES,ESTROGÈNES NON CONTRACEPTIFS,PRECAUTION_EMPLOI,Risque d'hypothyroïdie clinique en cas d'estrogénothérapie substitutive. Surveillance clinique et biologique ; adaptation éventuelle des doses de l'hormone thyroïdienne chez les femmes ménopausées prenant des estrogènes.
HORMONES THYROÏDIENNES,FER,PRECAUTION_EMPLOI,"Diminution de l'absorption digestive des hormones thyroïdiennes. Prendre les hormones thyroïdiennes à distance du fer (plus de 2 heures, si possible)."
HORMONES THYROÏDIENNES,MILLEPERTUIS,DECONSEILLEE,Risque de baisse de l’efficacité des hormones thyroïdiennes.
HORMONES THYROÏDIENNES,ORLISTAT,A_PRENDRE_EN_COMPTE,Risque de déséquilibre du traitement thyroïdien substitutif en cas de traitement par orlistat.
HORMONES THYROÏDIENNES,PROGUANIL,PRECAUTION_EMPLOI,"Risque d’hypothyroïdie clinique chez les patients substitués par hormones thyroïdiennes. Surveillance clinique et biologique. Adaptation, si besoin, de la posologie des hormones thyroïdiennes pendant le traitement par l’antipaludique et après son arrêt."
HUILES MINÉRALES,PRÉSERVATIFS EN LATEX,CONTRE_INDICATION,"Risque de rupture du préservatif lors de l'utilisation avec des corps gras ou des lubrifiants contenant des huiles minérales (huile de Utiliser un lubrifiant hydrosoluble (glycérine, polyacrylamide...). paraffine, huile de silicone, etc...)."
HYDROQUINIDINE,ALCALINISANTS URINAIRES,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excrétion rénale de Surveillance clinique, ECG et éventuellement contrôle des l'hydroquinidine par alcalinisation des urines). concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt."
HYDROQUINIDINE,DIGOXINE,PRECAUTION_EMPLOI,"Augmentation de la digoxinémie par diminution de la clairance rénale de la digoxine. De plus, troubles de l'automatisme Surveillance clinique et ECG. En cas de réponse inattendue, contrôler (bradycardie excessive et troubles de la conduction auriculo- la digoxinémie et adapter la posologie. ventriculaire)."
HYDROQUINIDINE,ITRACONAZOLE,PRECAUTION_EMPLOI,Risque d'acouphènes et/ou de diminution de l'acuité auditive : cinchonisme lié à une diminution du métabolisme hépatique de Surveillance des concentrations plasmatiques de l'antiarythmique et l'antiarythmique par l'itraconazole. diminution éventuelle de sa posologie si nécessaire.
HYPOKALIÉMIANTS,DIGOXINE,PRECAUTION_EMPLOI,"Hypokaliémie favorisant les effets toxiques des digitaliques. Corriger auparavant toute hypokaliémie et réaliser une surveillance clinique, électrolytique et électrocardiographique."
IBRUTINIB,AMIODARONE,DECONSEILLEE,"Risque d'augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par l’amiodarone. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IBRUTINIB,ANTIAGRÉGANTS PLAQUETTAIRES,PRECAUTION_EMPLOI,Augmentation du risque hémorragique. Surveillance clinique.
IBRUTINIB,CRIZOTINIB,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par le crizotinib. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IBRUTINIB,DILTIAZEM,DECONSEILLEE,"Risque d'augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par le diltiazem. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IBRUTINIB,DRONEDARONE,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par la dronédarone. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IBRUTINIB,FLUCONAZOLE,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par le fluconazole. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IBRUTINIB,IMATINIB,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par l'imatinib. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IBRUTINIB,VERAPAMIL,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par le vérapamil. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IFOSFAMIDE,APREPITANT,A_PRENDRE_EN_COMPTE,Risque d’augmentation de la neurotoxicité de l’ifosfamide.
IFOSFAMIDE,PHÉNOBARBITAL,DECONSEILLEE,Risque de majoration de la neurotoxicité de l'ifosfamide par augmentation de son métabolisme hépatique par le phénobarbital.
IFOSFAMIDE,VÉMURAFÉNIB,A_PRENDRE_EN_COMPTE,"Risque de diminution des concentrations de l'ifosfamide, avec augmentation de son métabolite actif et toxicité majorée."
IMAO IRRÉVERSIBLES,ADRÉNALINE,PRECAUTION_EMPLOI,"Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque. Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
IMAO IRRÉVERSIBLES,ALCOOL,DECONSEILLEE,"Majoration des effets hypertenseurs et/ou hyperthermiques de la tyramine présente dans certaines boissons alcoolisées (chianti, Eviter la prise de boissons alcoolisées et de médicaments contenant de certaines bières, etc). l'alcool."
IMAO IRRÉVERSIBLES,DEXTROMETHORPHANE,CONTRE_INDICATION,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma."
IMAO IRRÉVERSIBLES,GUANETHIDINE,CONTRE_INDICATION,"Avec la guanéthidine utilisée par voie IV : risque de réactions vasculaires imprévisibles, notamment d'hypotension. Interrompre le traitement par IMAO 15 jours avant le traitement par guanéthidine."
"IMAO-A RÉVERSIBLES, Y COMPRIS OXAZOLIDINONES ET BLEU DE MÉTHYLÈNE",DEXTROMETHORPHANE,DECONSEILLEE,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma."
IMAO-B,BUPROPION,CONTRE_INDICATION,Risque de crises hypertensives.
IMAO-B,"IMAO-A RÉVERSIBLES, Y COMPRIS OXAZOLIDINONES ET BLEU DE MÉTHYLÈNE",CONTRE_INDICATION,"Risque de poussée hypertensive, par absence de sélectivité sur la monoamine oxydase, notamment en cas d’alimentation riche en tyramine (fromage, bière,…)."
IMAO-B,LEVODOPA,A_PRENDRE_EN_COMPTE,Augmentation du risque d'hypotension orthostatique.
IMATINIB,IBRUTINIB,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques d’ibrutinib par diminution de son métabolisme hépatique par l'imatinib. Si l’association ne peut être évitée, surveillance clinique étroite et réduction de la dose d’ibrutinib à 280 mg par jour pendant la durée de l’association."
IMATINIB,TÉDIZOLIDE,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques de l'imatinib, par augmentation de son absorption avec le tédizolide administré par voie orale."
IMMUNOSUPPRESSEURS,APALUTAMIDE,DECONSEILLEE,"Risque de diminution très importante des concentrations des immunosuppresseurs, et perte d‘efficacité, par augmentation de leur métabolisme hépatique par l’apalutamide."
IMMUNOSUPPRESSEURS,CLARITHROMYCINE,DECONSEILLEE,"Augmentation très importante des concentrations sanguines de l'immunosuppresseur par inhibition de son métabolisme hépatique. En cas d’association, contrôle strict de la fonction rénale, dosage des concentrations sanguines de l'immunosuppresseur et adaptation éventuelle de la posologie."
IMMUNOSUPPRESSEURS,CYTOTOXIQUES,A_PRENDRE_EN_COMPTE,Immunodépression excessive avec risque de syndrome lympho- prolifératif.
IMMUNOSUPPRESSEURS,DALFOPRISTINE,PRECAUTION_EMPLOI,"Augmentation des concentrations sanguines de l'immunosuppresseur par inhibition de son métabolisme hépatique. Dosage des concentrations sanguines de l'immunosuppresseur, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
IMMUNOSUPPRESSEURS,DILTIAZEM,PRECAUTION_EMPLOI,"Augmentation des concentrations sanguines de l'immunosuppresseur par diminution de son métabolisme. Dosage des concentrations sanguines de l'immunosuppresseur, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
IMMUNOSUPPRESSEURS,DRONEDARONE,DECONSEILLEE,Augmentation importante des concentrations sanguines de l’immunosuppresseur par diminution de son métabolisme.
INSULINE,ALCOOL,DECONSEILLEE,Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation pouvant faciliter la survenue de coma Eviter la prise de boissons alcoolisées et de médicaments contenant de hypoglycémique). l'alcool.
INTERFERON ALFA,FLUOROURACILE,A_PRENDRE_EN_COMPTE,Augmentation de la toxicité gastro-intestinale du fluorouracile.
IRINOTECAN,MILLEPERTUIS,CONTRE_INDICATION,"Diminution des concentrations plasmatiques du métabolite actif de l'irinotécan, avec risque d'échec du traitement cytotoxique."
ISAVUCONAZOLE,MILLEPERTUIS,CONTRE_INDICATION,Diminution des concentrations plasmatiques d’isavuconazole par augmentation de son métabolisme hépatique par le millepertuis.
ISONIAZIDE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,PRECAUTION_EMPLOI,"Potentialisation de l'effet hépatotoxique de l'isonazide, avec formation accrue de métabolites toxiques de l'isoniazide. En cas d'intervention programmée, arrêter, par prudence, le traitement par l'isoniazide une semaine avant l'intervention et ne le reprendre que 15 jours après."
ISONIAZIDE,CARBAMAZEPINE,DECONSEILLEE,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage par inhibition de son métabolisme hépatique.
ISONIAZIDE,DISULFIRAME,DECONSEILLEE,Troubles du comportement et de la coordination.
ISONIAZIDE,GLUCOCORTICOÏDES,PRECAUTION_EMPLOI,Décrit pour la prednisolone. Diminution des concentrations plasmatiques de l'isoniazide. Mécanisme invoqué : augmentation Surveillance clinique et biologique. du métabolisme hépatique de l'isoniazide et diminution de celui des glucocorticoïdes.
ISONIAZIDE,KETOCONAZOLE,PRECAUTION_EMPLOI,Diminution des concentrations plasmatiques de kétoconazole. Espacer les prises des deux anti-infectieux d'au moins 12 heures. Surveiller les concentrations plasmatiques du kétoconazole et adapter éventuellement sa posologie.
ISONIAZIDE,PHÉNYTOÏNE,PRECAUTION_EMPLOI,"Surdosage en phénytoïne (diminution de son métabolisme). Surveillance clinique étroite, dosage des concentrations plasmatiques de phénytoïne et adaptation éventuelle de sa posologie pendant le traitement par l'isoniazide et après son arrêt."
ISONIAZIDE,PYRAZINAMIDE,PRECAUTION_EMPLOI,Addition des effets hépatotoxiques. Surveillance clinique et biologique.
ISONIAZIDE,RIFAMPICINE,PRECAUTION_EMPLOI,"Augmentation de l'hépatotoxicité de l'isoniazide (augmentation de la formation de métabolites toxiques de l'isoniazide). Surveillance clinique et biologique de cette association classique. En cas d'hépatite, arrêter l'isoniazide."
ISONIAZIDE,STAVUDINE,PRECAUTION_EMPLOI,"Risque majoré de survenue de neuropathies périphériques par addition d'effets indésirables. Surveillance clinique et biologique régulière, notamment en début d'association."
ISOPRENALINE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,DECONSEILLEE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.
ITRACONAZOLE,AFATINIB,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par l'itraconazole. Il est recommandé d’administrer l'itraconazole le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
ITRACONAZOLE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A_PRENDRE_EN_COMPTE,"Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire."
ITRACONAZOLE,APREPITANT,A_PRENDRE_EN_COMPTE,Augmentation des concentrations d’aprépitant par diminution de son métabolisme hépatique par l’itraconazole.
ITRACONAZOLE,ATORVASTATINE,CONTRE_INDICATION,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).
ITRACONAZOLE,BUPRENORPHINE,PRECAUTION_EMPLOI,"Augmentation des concentrations de buprénorphine par diminution de son métabolisme hépatique, avec risque de majoration de ses Surveillance clinique et adaptation de la posologie de la buprénorphine effets indésirables. pendant le traitement par l'inhibiteur et, le cas échéant, après son arrêt."
ITRACONAZOLE,BUSPIRONE,DECONSEILLEE,"Augmentation des concentrations plasmatiques de la buspirone par diminution de son métabolisme hépatique, avec majoration importante de la sédation."
ITRACONAZOLE,BUSULFAN,DECONSEILLEE,Avec le busulfan à fortes doses : doublement des concentrations de busulfan par l’itraconazole.
ITRACONAZOLE,DABIGATRAN,CONTRE_INDICATION,"Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement."
ITRACONAZOLE,DIGOXINE,PRECAUTION_EMPLOI,"Augmentation de la digoxinémie avec nausées, vomissements, troubles du rythme. Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinémie avec adaptation de la posologie de la digoxine pendant le traitement par l'itraconazole et après son arrêt."
ITRACONAZOLE,ÉDOXABAN,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de l’édoxaban, avec majoration du risque de saignement. Réduire la dose d’édoxaban de moitié."
ITRACONAZOLE,ELVITÉGRAVIR,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques d’elvitegravir par diminution de son métabolisme par l'itraconazole. Avec l’elvitegravir co-administré avec le cobicistat, surveillance clinique. Limiter la dose maximale d’itraconazole à 200 mg/j."
ITRACONAZOLE,HYDROQUINIDINE,PRECAUTION_EMPLOI,Risque d'acouphènes et/ou de diminution de l'acuité auditive : cinchonisme lié à une diminution du métabolisme hépatique de Surveillance des concentrations plasmatiques de l'antiarythmique et l'antiarythmique par l'itraconazole. diminution éventuelle de sa posologie si nécessaire.
ITRACONAZOLE,IMMUNOSUPPRESSEURS,DECONSEILLEE,"Augmentation très importante des concentrations sanguines de l'immunosuppresseur par inhibition de son métabolisme hépatique. En cas d’association, contrôle strict de la fonction rénale, dosage des concentrations sanguines de l'immunosuppresseur et adaptation éventuelle de la posologie."
IVABRADINE,AZITHROMYCINE,PRECAUTION_EMPLOI,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes. De plus, risque d'augmentation des Surveillance clinique et ECG pendant l’association. concentrations plasmatiques de l’ivabradine par augmentation de son absorption par l’azithromycine."
IVABRADINE,DILTIAZEM,CONTRE_INDICATION,"Augmentation des concentrations plasmatiques de l’ivabradine et de ses effets indésirables, notamment cardiaques (inhibition de son métabolisme hépatique par le diltiazem), qui s’ajoutent aux effets bradycardisants de ces substances."
IVACAFTOR,FLUCONAZOLE,PRECAUTION_EMPLOI,"Augmentation des concentrations d’ivacaftor, avec risque de majoration des effets indésirables. Se référer à l'AMM pour les adaptations posologiques."
IVACAFTOR,PAMPLEMOUSSE,DECONSEILLEE,Risque d’augmentation des concentrations plasmatiques d’ivacaftor par le jus de pamplemousse.
JOSAMYCINE,CARBAMAZEPINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage, par diminution de son métabolisme Surveillance clinique et, si besoin, dosage plasmatique et réduction hépatique. éventuelle de la posologie de la carbamazépine."
JOSAMYCINE,CICLOSPORINE,PRECAUTION_EMPLOI,"Risque d'augmentation des concentrations sanguines de ciclosporine et de la créatininémie. Dosage des concentrations sanguines de la ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après l'arrêt du macrolide."
JOSAMYCINE,DISOPYRAMIDE,PRECAUTION_EMPLOI,"Risque de majoration des effets indésirables du disopyramide : hypoglycémies sévères, allongement de l’intervalle QT et troubles Surveillance clinique, biologique et électrocardiographique régulière. du rythme ventriculaire graves, notamment à type de torsades de pointes."
JOSAMYCINE,HALOFANTRINE,DECONSEILLEE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes. Si cela est possible, interrompre le macrolide. Si l’association ne peut être évitée, contrôle préalable du QT et surveillance ECG monitorée."
KETAMINE,TICLOPIDINE,A_PRENDRE_EN_COMPTE,Augmentation des concentrations plasmatiques de kétamine par diminution de son métabolisme par la ticlopidine.
KETOCONAZOLE,AFATINIB,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par le kétoconazole. Il est recommandé d’administrer le kétoconazole le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
KETOCONAZOLE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A_PRENDRE_EN_COMPTE,"Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire."
KETOCONAZOLE,ATORVASTATINE,CONTRE_INDICATION,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).
KETOCONAZOLE,BUPRENORPHINE,PRECAUTION_EMPLOI,"Augmentation des concentrations de buprénorphine par diminution de son métabolisme hépatique, avec risque de majoration de ses Surveillance clinique et adaptation de la posologie de la buprénorphine effets indésirables. pendant le traitement par l'inhibiteur et, le cas échéant, après son arrêt."
KETOCONAZOLE,DABIGATRAN,CONTRE_INDICATION,"Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement."
KETOCONAZOLE,ELVITÉGRAVIR,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques d’elvitegravir par diminution de son métabolisme par le kétoconazole. Avec l’elvitegravir co-administré avec le cobicistat, surveillance clinique. Limiter la dose maximale de kétoconazole à 200 mg/j."
KETOCONAZOLE,FIDAXOMICINE,DECONSEILLEE,Augmentation des concentrations plasmatiques de la fidaxomicine.
LAMIVUDINE,CLADRIBINE,DECONSEILLEE,Risque de diminution de l’efficacité de la cladribine par la lamivudine.
LAMIVUDINE,SORBITOL,DECONSEILLEE,"Diminution des concentrations plasmatiques de lamivudine par le sorbitol. Si l’association ne peut être évitée, surveillance plus fréquente de la charge virale."
LAMOTRIGINE,CARBAMAZEPINE,PRECAUTION_EMPLOI,"Risque d'augmentation des effets neurologiques (vertiges, ataxie, diplopie) de la carbamazépine lors de l'introduction de la Surveillance clinique et réduction éventuelle de la posologie de la lamotrigine. carbamazépine."
LAMOTRIGINE,ESTROPROGESTATIFS CONTRACEPTIFS,DECONSEILLEE,Diminution des concentrations et de l’efficacité de la lamotrigine par augmentation de son métabolisme hépatique. Association déconseillée: - Eviter de mettre en route une contraception orale pendant la période d'ajustement posologique de la lamotrigine. Précaution d'emploi: - Surveillance clinique et adaptation de la posologie de la lamotrigine lors de la mise en route d'une contraception orale et après son arrêt.
LANSOPRAZOLE,TACROLIMUS,PRECAUTION_EMPLOI,"Augmentation des concentrations sanguines du tacrolimus. Dosage des concentrations sanguines du tacrolimus, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
LAPATINIB,TÉDIZOLIDE,DECONSEILLEE,"Risque d’augmentation des concentrations plasmatiques du lapatinib, par augmentation de son absorption avec le tédizolide administré par voie orale, ou par diminution de son élimination avec le tédizolide administré par voie IV."
LÉDIPASVIR,MILLEPERTUIS,CONTRE_INDICATION,Risque de diminution importante des concentrations plasmatiques du lédipasvir par augmentation de son métabolisme hépatique par le millepertuis.
LÉDIPASVIR,RIFABUTINE,CONTRE_INDICATION,"Diminution des concentrations plasmatiques de lédipasvir par la rifabutine, avec possible retentissement sur l’efficacité."
LÉNACAPAVIR,ATAZANAVIR,DECONSEILLEE,"Lorsqu’il est associé au cobicistat, l’atazanavir provoque une augmentation très importante des concentrations de lénacapavir."
LÉNACAPAVIR,EFAVIRENZ,DECONSEILLEE,Diminution importante des concentrations de lénacapavir.
LÉNACAPAVIR,MILLEPERTUIS,CONTRE_INDICATION,"Diminution, éventuellement considérable, des concentrations de lénacapavir, avec risque de réduction de la réponse virologique."
LÉNACAPAVIR,OXCARBAZEPINE,CONTRE_INDICATION,"Diminution, éventuellement considérable, des concentrations de lénacapavir, avec risque de réduction de la réponse virologique."
LÉNACAPAVIR,RIFAMPICINE,CONTRE_INDICATION,"Diminution, éventuellement considérable, des concentrations de lénacapavir, avec risque de réduction de la réponse virologique."
LERCANIDIPINE,CICLOSPORINE,PRECAUTION_EMPLOI,"Augmentation modérée des concentrations sanguines de l'immunosuppresseur et augmentation plus notable des Décaler les prises des deux médicaments. Dosage des concentrations concentrations de lercanidipine. sanguines de l'immunosuppresseur, et adaptation si nécessaire de sa posologie pendant l'association et après son arrêt."
LERCANIDIPINE,KETOCONAZOLE,DECONSEILLEE,"Risque majoré d'effets indesirables, notamment d'oedèmes, par diminution du métabolisme hépatique de la dihydropyridine."
LERCANIDIPINE,PAMPLEMOUSSE,A_PRENDRE_EN_COMPTE,"Risque majoré d'effets indésirables, notamment d'oedèmes, par diminution du métabolisme intestinal de la dihydropyridine."
LEVOCARNITINE,ANTIVITAMINES K,PRECAUTION_EMPLOI,Augmentation de l'effet de l'antivitamine K et du risque hémorragique Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la lévocarnitine et 8 jours après son arrêt.
LEVODOPA,BACLOFENE,A_PRENDRE_EN_COMPTE,"Risque d’aggravation du syndrome parkinsonien ou d’effets indésirables centraux (hallucinations visuelles, état confusionnel, céphalées)."
LEVODOPA,FER,PRECAUTION_EMPLOI,Diminution de l'absorption digestive de la lévodopa. Prendre les sels de fer à distance de la lévodopa (plus de 2 heures si possible).
LEVODOPA,IMAO-B,A_PRENDRE_EN_COMPTE,Augmentation du risque d'hypotension orthostatique.
LEVODOPA,METHYLDOPA,PRECAUTION_EMPLOI,Augmentation des effets de la lévodopa mais également de ses effets indésirables. Majoration de l'effet antihypertenseur de la Surveillance clinique et éventuellement diminution des doses de méthyldopa. lévodopa.
LEVODOPA,NEUROLEPTIQUES ANTIÉMÉTIQUES,CONTRE_INDICATION,Antagonisme réciproque entre la lévodopa et le neuroleptique. Utiliser un antiémétique dénué d'effets extrapyramidaux.
LEVODOPA,NEUROLEPTIQUES ANTIPSYCHOTIQUES,DECONSEILLEE,"Antagonisme réciproque de la lévodopa et des neuroleptiques. Chez le patient parkinsonien, utiliser les doses minimales efficaces de chacun des deux médicaments."
LEVODOPA,RESERPINE,CONTRE_INDICATION,Inhibition des effets de la lévodopa.
LEVODOPA,SPIRAMYCINE,PRECAUTION_EMPLOI,En cas d'association avec la carbidopa : inhibition de l'absorption de la carbidopa avec diminution des concentrations plasmatiques Surveillance clinique et adaptation éventuelle de la posologie de la de la lévodopa. lévodopa.
LIDOCAINE,AMIODARONE,PRECAUTION_EMPLOI,"Risque d’augmentation des concentrations plasmatiques de lidocaïne, avec possibilité d’effets indésirables neurologiques et Surveillance clinique, ECG et éventuellement contrôle des cardiaques, par diminution de son métabolisme hépatique par concentrations plasmatiques de lidocaïne. Si besoin, adaptation de la l’amiodarone. posologie de la lidocaïne pendant le traitement par amiodarone et après son arrêt."
LIDOCAINE,BÊTA-BLOQUANTS,PRECAUTION_EMPLOI,"Avec la lidocaïne utilisée par voie IV : augmentation des concentrations plasmatiques de lidocaïne avec possibilité d'effets Surveillance clinique, ECG et éventuellement contrôle des indésirables neurologiques et cardiaques (diminution de la concentrations plasmatiques de lidocaïne pendant l'association et après clairance hépatique de la lidocaïne). l'arrêt du bêta-bloquant. Adaptation si besoin de la posologie de la lidocaïne."
LIDOCAINE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,A_PRENDRE_EN_COMPTE,Effet inotrope négatif avec risque de décompensation cardiaque.
LIDOCAINE,CIMETIDINE,PRECAUTION_EMPLOI,"Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : augmentation des concentrations plasmatiques de Surveillance clinique, ECG et éventuellement des concentrations lidocaïne avec risque d'effets indésirables neurologiques et plasmatiques de la lidocaïne ; s'il y a lieu, adaptation de la posologie de cardiaques (inhibition du métabolisme hépatique de la lidocaïne). la lidocaïne pendant le traitement par la cimétidine et après son arrêt."
LIDOCAINE,FLUVOXAMINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de la lidocaïne avec possibilités d’effets indésirables neurologiques et cardiaques Surveillance clinique, ECG et éventuellement contrôle des (diminution de la clairance hépatique de la lidocaïne). concentrations plasmatiques de la lidocaïne pendant et après l’arrêt de l’association. Adaptation, si besoin, de la posologie de la lidocaïne."
LINCOSANIDES,CURARES,PRECAUTION_EMPLOI,"Potentialisation des curares lorque l'antibiotique est administré par voie parentérale et/ou péritonéale avant, pendant ou après l'agent Surveiller le degré de curarisation en fin d'anesthésie. curarisant."
LINEZOLIDE,CLARITHROMYCINE,A_PRENDRE_EN_COMPTE,"Risque de majoration des effets indésirables du linézolide par la clarithromycine, par augmentation de son absorption."
LINEZOLIDE,RIFAMPICINE,PRECAUTION_EMPLOI,Risque de diminution de l'efficacité du linézolide par augmentation de son métabolisme hépatique par la rifampicine. Surveillance clinique et augmentation éventuelle de la posologie du linézolide pendant le traitement par la rifampicine.
LITHIUM,ACETAZOLAMIDE,PRECAUTION_EMPLOI,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique. Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.
LITHIUM,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,DECONSEILLEE,"Augmentation de la lithémie pouvant atteindre des valeurs toxiques (diminution de l'excrétion rénale du lithium). Si l'association ne peut être évitée, surveiller étroitement la lithémie et adapter la posologie du lithium pendant l'association et après l'arrêt de l'anti-inflammatoire non stéroïdien."
LITHIUM,CAFEINE,A_PRENDRE_EN_COMPTE,"En cas d’arrêt brutal de la consommation de café ou de médicaments contenant de la caféine, risque d’augmentation de la lithémie."
LITHIUM,CALCITONINE,PRECAUTION_EMPLOI,"Risque de baisse de l’efficacité du lithium par augmentation de son élimination rénale par la calcitonine. Surveillance clinique et biologique régulière, notamment en début d’association."
LITHIUM,CARBAMAZEPINE,DECONSEILLEE,"Risque de neurotoxicité se manifestant par des troubles cérébelleux, confusion, somnolence, ataxie. Ces troubles sont réversibles à l'arrêt du traitement par le lithium."
LITHIUM,GLYCEROL,PRECAUTION_EMPLOI,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique. Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.
LITHIUM,MANNITOL,PRECAUTION_EMPLOI,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique. Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.
LITHIUM,METHYLDOPA,PRECAUTION_EMPLOI,"Augmentation de la lithémie pouvant atteindre des valeurs toxiques, avec signes de surdosage en lithium. Surveillance clinique et adaptation de la posologie de lithium."
LOMITAPIDE,DILTIAZEM,CONTRE_INDICATION,"Augmentation des concentrations de lomitapide, avec risque d’hépatotoxicité."
LOMITAPIDE,MILLEPERTUIS,DECONSEILLEE,Risque de diminution des concentrations plasmatiques du lomitapide.
LOMUSTINE,CIMETIDINE,DECONSEILLEE,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : toxicité médullaire accrue (inhibition du métabolisme de la lomustine).
